#1.WindSpeed,#1.WindSpeedMax,#1.WindDirection,#1.AirTemperature,#1.AirPressure,#1.AirHumidity,#5.WindSpeed,#5.WindSpeedMax,#5.WindDirection,#5.AirTemperature,#5.AirPressure,#5.AirHumidity,#10.WindSpeed,#10.WindSpeedMax,#10.WindDirection,#10.AirTemperature,#10.AirPressure,#10.AirHumidity,#14.WindSpeed,#14.WindSpeedMax,#14.WindDirection,#14.AirTemperature,#14.AirPressure,#14.AirHumidity,#18.WindSpeed,#18.WindSpeedMax,#18.WindDirection,#18.AirTemperature,#18.AirPressure,#18.AirHumidity
3.3,5.2,50,25.4,1015.7,65.5,3.9,3.9,69,25.2,1012.6,63.7,2.2,2.2,82,24.4,1013.1,68.1,0.5,0.8,113,25,1013.3,69,1.5,1.5,49,25.3,1013.3,62.1
2.8,5.2,48.5,25.5,1015.7,65.7,1,3.9,94,25.2,1012.6,63.7,2.35,2.35,93,24.35,1013.15,68.14999,0.65,0.8,58,25,1013.3,69,0.9,1.5,35.5,25.3,1013.3,61.9
4.333333,5,37.33333,25.5,1015.633,65.6,2.866667,3.6,53.66667,25.2,1012.6,63.66667,2.2,2.6,86,24.3,1013.2,68.3,0.5666667,0.7,239.3333,25,1013.3,69,0.8,1.366667,50,25.3,1013.3,61.90001
5.3,6,35.33333,25.5,1015.633,65.8,3.433333,3.6,59,25.2,1012.6,63.53334,2.066667,2.7,95.66666,24.3,1013.2,68.43333,0.8,0.8,294.3333,25,1013.3,69,0.7666667,1,37.66667,25.3,1013.233,61.83333
5.133333,6.5,31.66667,25.56667,1015.567,64.86667,1.733333,3.9,70,25.3,1012.6,63.5,2.9,3.466666,75,24.3,1013.2,68.46667,0.6666667,0.9333333,232.3333,25,1013.3,69,0.8,1.033333,74.33334,25.3,1013.2,61.8
4.1,6.15,30.5,25.7,1015.7,66.2,1,2.8,90.5,25.3,1012.6,63.5,2.5,3.6,74.5,24.4,1013.2,68.25,0.3333333,1,210.3333,25,1013.3,69,1.066667,1.3,34.66667,25.3,1013.2,61.8
4.766667,5.633334,31.66667,25.7,1015.6,65.46667,1.766667,2.066667,89.66666,25.3,1012.6,63.53334,2.666667,3.2,73.66666,24.4,1013.2,68.1,0.4333334,0.6666667,198,25,1013.3,69,0.8333333,1.333333,36.66667,25.3,1013.2,61.8
4.133333,5.800001,26,25.7,1015.6,65.1,1.633333,2.5,62.33333,25.2,1012.6,63.63333,1.866667,3.2,77.33334,24.4,1013.2,68,1,1,202.5,25,1013.3,69.05,1.966667,1.966667,38.33333,25.3,1013.2,61.8
4.766667,5.5,27,25.73333,1015.667,65.2,1.466667,2.3,40,25.2,1012.6,63.63333,2.4,3,76.33334,24.43333,1013.2,67.93333,0.7333333,1,241,25,1013.3,69.16666,2.5,2.633333,53,25.3,1013.2,61.8
3.966666,5.266667,135,25.7,1015.633,65.46667,2.2,2.633333,53,25.2,1012.6,63.7,1.633333,2.766667,76.33334,24.4,1013.2,68,1.033333,1.2,126.3333,25,1013.3,69.3,1.7,2.7,36.33333,25.3,1013.2,61.66667
5.066667,6.1,32.66667,25.66667,1015.6,64.76666,2.4,4,29.33333,25.2,1012.6,63.7,1.433333,2.566667,73,24.4,1013.2,68,1.733333,2.7,241.6667,25,1013.3,69.43333,1.166667,1.933333,31,25.3,1013.2,61.59999
3.7,6.300001,29,25.6,1015.633,65.86667,2.566667,4.5,158.6667,25.23333,1012.567,63.73333,1.466667,2.6,51.33333,24.4,1013.2,68,1.866667,2.6,123,25,1013.3,69.43333,1.1,1.366667,14,25.3,1013.2,61.59999
4.7,5.7,41,25.55,1015.55,65.89999,3,3.9,68.5,25.2,1012.6,63.8,2.15,2.4,73,24.4,1013.2,68.1,2.4,3.1,230,25,1013.2,69.53333,1.933333,1.933333,125,25.3,1013.2,61.59999
3.5,6.800001,16.33333,25.5,1015.633,66.03333,4.5,5.366667,34.33333,25.2,1012.6,63.90001,1.633333,2.3,65,24.4,1013.2,68.13333,2.066667,3.1,25,25,1013.2,69.8,1.5,2.3,20.66667,25.3,1013.2,61.59999
3,5.066667,14.33333,25.46667,1015.6,66.63333,2.466666,5.5,87,25.2,1012.5,63.93333,0.9,1.766667,88,24.4,1013.2,68.16666,2.2,3.1,210.5,24.95,1013.2,70,0.8,1.966667,326,25.3,1013.2,61.53334
2.133333,3.933333,225.6667,25.4,1015.567,66.8,1.666667,3.866667,75.33334,25.2,1012.5,64.03333,1.266667,1.533333,60,24.3,1013.2,68.23333,1.666667,2.833333,39.66667,24.9,1013.2,70.1,0.5666667,0.8999999,141,25.3,1013.2,61.5
3.533334,4.266667,15.33333,25.36667,1015.6,66.76667,0.9666667,3.4,133.3333,25.16667,1012.533,64.13333,1.033333,1.4,77,24.3,1013.2,68.3,1,2.033333,141.3333,24.9,1013.2,70.23333,0.7666667,0.8333333,50,25.3,1013.2,61.56667
4.133333,4.833333,21.66667,25.3,1015.533,67.03333,3.033333,3.866667,46,25.1,1012.5,64.3,1.566667,1.566667,66.33334,24.3,1013.2,68.46667,1.933333,2.5,244,24.9,1013.2,70.06667,0.8,0.9,99.66666,25.3,1013.133,61.66667
1.733333,5.5,209,25.26667,1015.533,66.8,2.366667,4.7,61,25.1,1012.5,64.36667,1.466667,2.2,86,24.33333,1013.2,68.5,1.2,2.333333,81.33334,24.9,1013.2,69.73333,2.466666,2.466666,34,25.3,1013.1,61.76667
4.8,5.45,24.5,25.2,1015.5,66.95,3.2,3.5,42.5,25.1,1012.5,64.4,2.35,2.5,82.5,24.4,1013.1,68.4,1.166667,1.766667,337.6667,24.96667,1013.167,69.8,2.733334,2.833333,45,25.3,1013.1,61.8
4.3,5.4,30.33333,25.2,1015.5,67.2,2.266667,4,40,25.1,1012.467,64.4,1.733333,2.5,78.66666,24.4,1013.1,68.43333,0.9,1.266667,48.33333,25,1013.167,69.73334,3.133333,3.4,51.66667,25.3,1013.1,61.93333
3.133333,5.066667,138,25.2,1015.6,67,1.266667,3.2,59.66667,25.1,1012.467,64.43333,0.9666667,2.3,46.33333,24.4,1013.1,68.4,0.9,1.1,16,25,1013.1,69.55,1.833333,3.3,55.66667,25.3,1013.1,61.93333
4.233334,5.366667,22.33333,25.2,1015.567,67.5,2.533333,3.333333,59.66667,25.1,1012.5,64.43333,2.533334,2.633333,67.66666,24.4,1013.1,68.4,0.5333334,1.1,122.3333,25,1013.2,69.6,1.933333,2.566667,35.66667,25.3,1013.1,61.90001
2.833333,5.5,114.3333,25.2,1015.567,67.6,2.066667,5,44.33333,25.1,1012.5,64.5,1.433333,3.3,89,24.4,1013.1,68.3,0.6,1.2,46.33333,25,1013.2,69.5,2.933333,3,33.33333,25.23333,1013.1,61.96666
3.466666,4.7,126.6667,25.1,1015.567,67.8,2.433333,3.766667,64,25.1,1012.5,64.5,1.5,2.633333,117.3333,24.4,1013.1,68.33334,1.233333,1.866667,230,25,1013.2,69.5,2.933333,3.066667,39,25.2,1013.1,62.06667
3.866667,5.3,129.6667,25.1,1015.6,67.83334,3.433333,4,42.33333,25.1,1012.5,64.43333,1.5,2.233333,61.33333,24.4,1013.1,68.56667,0.7333333,2.2,201.6667,25,1013.2,69.5,2.933333,3.133333,44,25.2,1013.1,62.09999
3.3,5.3,20.5,25.1,1015.6,67.65,2.5,4,76,25.2,1012.45,64.5,1.55,2.2,68,24.4,1013.1,68.6,0.7666667,1.233333,234.3333,25,1013.2,69.6,3.4,3.5,37.33333,25.2,1013.1,62.09999
3.233334,5.133334,138,25.1,1015.567,67.86667,2.433333,3.733333,51,25.13333,1012.467,64.53333,1.666667,2.1,68.66666,24.3,1013.1,68.63333,0.7666667,1.3,242.6667,25,1013.167,69.63333,2.333333,3.466666,49,25.2,1013.1,62.16667
5.033333,5.699999,29,25.1,1015.533,67.63333,2.6,3.933333,82,25.1,1012.4,64.63333,1.5,2.3,85.33334,24.3,1013.1,68.76667,1.4,1.5,20,25,1013.15,69.9,1.833333,2.8,45.66667,25.2,1013.1,62.2
3.8,5.4,25.33333,25.1,1015.567,67.83334,2.766667,4.4,51,25.1,1012.4,64.7,1.566667,2.566667,75.33334,24.3,1013.1,68.96667,2.8,3.6,15,25,1013.1,70.13333,2.466667,2.6,42.33333,25.2,1013.1,62.2
3.766667,4.7,32.33333,25.1,1015.533,68.1,3.833333,4.733334,58,25.1,1012.4,64.73333,2.266667,3.1,69.66666,24.3,1013.1,69.03333,1.466667,3.266666,235,24.93333,1013.1,70.3,2.6,2.833333,31.66667,25.2,1013.033,62.2
4,4.566667,32.66667,25.1,1015.5,68.56667,3.033334,5.1,23.33333,25.1,1012.4,64.73333,2.233333,3.1,62.33333,24.3,1013.1,69.16666,2.033334,2.333333,14.33333,24.9,1013.1,70.63333,2.933333,3.4,32.66667,25.2,1013,62.26667
3.9,4.933333,33.33333,25.1,1015.5,68.06667,3.3,4.366667,34.33333,25.1,1012.4,64.7,1.466667,2.9,53.66667,24.3,1013.1,68.93333,2.066667,3.7,330.3333,24.9,1013.067,70.76667,3.133333,3.466666,48.66667,25.2,1013,62.36667
4.15,5,15.5,25.1,1015.5,68.1,2.5,4,42,25.1,1012.4,64.8,0.85,2.6,79.5,24.3,1013.1,68.9,2.633333,3.7,126.6667,24.9,1013.067,70.93333,2.633333,3.6,43.33333,25.2,1013,62.40001
3.033334,5.066667,125,25.16667,1015.467,67.6,3.5,5.133333,53.66667,25.1,1012.367,64.8,0.8333333,2.133333,133.3333,24.3,1013.067,68.83334,1.433333,3.7,240.6667,24.86667,1013.1,70.9,2.266667,3.133333,32.66667,25.2,1013,62.40001
2.933333,5.1,17.33333,25.2,1015.433,67.76667,2,5.699999,62.66667,25.1,1012.4,64.83334,1.233333,1.6,110,24.3,1013,68.83334,2.05,2.5,349.5,24.9,1013.1,70.9,2,2.4,36.66667,25.2,1013,62.46666
4.4,5.2,32.33333,25.2,1015.467,67.9,0.7666667,2.833333,238,25.1,1012.4,64.9,1.1,1.6,58.66667,24.3,1013,68.96667,2.233333,2.5,121.6667,24.9,1013.1,71.13333,1.366667,2.2,8,25.2,1013,62.5
4.033333,5.733334,124.6667,25.1,1015.4,68.13333,0.8333333,1.7,165.3333,25.1,1012.4,64.93333,1,1.433333,91.66666,24.3,1013,69,1.2,2.4,224.6667,24.86667,1013.1,71.1,1.333333,1.666667,22.66667,25.2,1013,62.5
4.966667,6.800001,33.33333,25.1,1015.4,68.06667,1.366667,1.833333,85,25.06667,1012.4,65.1,0.8,1.266667,78,24.3,1013,69.1,1.833333,2.4,348.3333,24.8,1013.1,71.2,1.533333,1.7,41.66667,25.2,1013,62.56667
2.966667,5.733334,250.6667,25.06667,1015.433,68.8,0.8,1.9,221.6667,25,1012.4,65.2,1.333333,1.8,49.66667,24.23333,1013,69.1,1.733333,2.266667,221,24.8,1013.1,71.36667,1.233333,1.633333,47.66667,25.13333,1013,62.59999
2.25,5.15,174.5,25,1015.5,69.05,0.55,1.6,254.5,25,1012.4,65.3,1.85,2,77,24.2,1013,69.3,1.666667,2.266667,120.3333,24.8,1013.1,71.33334,0.7666667,1.366667,57.33333,25.1,1013.067,62.66667
4.5,5.133333,34.33333,25,1015.5,68.8,1.333333,1.833333,44,25,1012.467,65.46667,1.833333,2.3,78.33334,24.2,1013,69.36667,0.9666666,2.3,340.3333,24.8,1013.1,71.4,0.8666666,1.033333,27.33333,25.1,1013.1,62.7
2.9,5.4,137.6667,25,1015.567,69.16666,1.133333,2,59.33333,25,1012.5,65.5,2.7,3.4,75.66666,24.2,1013,69.46667,1.1,1.2,177.5,24.8,1013.1,71.3,0.7,1,52.66667,25.1,1013.1,62.76667
2.666667,3.8,235.6667,25.03333,1015.6,68.9,2.1,2.366667,55.66667,25,1012.5,65.53333,1.533333,3.333333,81,24.2,1012.933,69.6,1.333333,1.6,347.6667,24.8,1013.167,71.33334,2,2,37.66667,25.1,1013.1,62.86667
2.966666,3.933333,39.33333,25.1,1015.567,68.73333,1.933333,3.9,348.6667,24.9,1012.467,65.6,2,3,86.66666,24.2,1012.9,69.6,1.4,1.666667,128.3333,24.8,1013.1,71.36667,1,2.4,80.33334,25.1,1013.1,62.90001
4.566667,5.133333,33.66667,25.1,1015.5,68.4,1.266667,2.866667,158.6667,25,1012.4,65.6,1.166667,2.6,77.66666,24.26667,1012.9,69.53333,1.1,1.7,241.6667,24.8,1013.133,71.23333,0.6333333,1.666667,81.66666,25.1,1013.1,62.90001
4.733333,6.5,144,25.13333,1015.533,68,1.733333,2.2,77.66666,25,1012.4,65.53333,3.4,4.133334,79.66666,24.3,1012.9,69.46667,1.466667,1.6,249,24.8,1013.1,71.36667,1.433333,1.433333,20,25.1,1013.1,62.96666
5.2,6.9,26,25.2,1015.5,68.2,1.15,2.2,62.5,25,1012.4,65.6,1.7,4.8,116,24.3,1012.8,69.4,1.266667,2,347,24.8,1013.1,71.3,1.966667,1.966667,17,25.1,1013.1,63
