#1.WindSpeed,#1.WindSpeedMax,#1.WindDirection,#1.AirTemperature,#1.AirPressure,#1.AirHumidity,#5.WindSpeed,#5.WindSpeedMax,#5.WindDirection,#5.AirTemperature,#5.AirPressure,#5.AirHumidity,#10.WindSpeed,#10.WindSpeedMax,#10.WindDirection,#10.AirTemperature,#10.AirPressure,#10.AirHumidity,#14.WindSpeed,#14.WindSpeedMax,#14.WindDirection,#14.AirTemperature,#14.AirPressure,#14.AirHumidity,#18.WindSpeed,#18.WindSpeedMax,#18.WindDirection,#18.AirTemperature,#18.AirPressure,#18.AirHumidity
3.3,5.2,50,25.4,1015.7,65.5,3.9,3.9,69,25.2,1012.6,63.7,2.2,2.2,82,24.4,1013.1,68.1,0.5,0.8,113,25,1013.3,69,1.5,1.5,49,25.3,1013.3,62.1
4.469231,5.784615,36.23077,25.54616,1015.639,65.58462,2.161539,3.592308,70.53846,25.23846,1012.6,63.57692,2.4,2.938462,85,24.32308,1013.192,68.33846,0.6,0.85,217.5,25,1013.3,69,0.8642856,1.221429,47.21429,25.3,1013.243,61.84285
4.54,5.66,50.46667,25.7,1015.62,65.2,1.893333,2.7,54.86666,25.22,1012.6,63.64001,2,2.946666,75.33334,24.40666,1013.2,68.00667,0.9857143,1.335714,201.8571,25,1013.3,69.2,1.633333,2.113333,39.06667,25.3,1013.2,61.73332
3.314286,5.55,67,25.5,1015.6,66.27143,2.828572,4.678571,85.92857,25.20714,1012.55,63.88571,1.435714,2.1,67.07143,24.37857,1013.2,68.12858,2.028571,2.935714,119.5714,24.97143,1013.222,69.75715,1.18,1.693333,125.3333,25.3,1013.2,61.56667
3.621429,5.064286,62.71429,25.27143,1015.536,66.95,2.307143,3.921429,66.14286,25.11429,1012.5,64.31429,1.578571,2,77.78571,24.34286,1013.164,68.42144,1.24,1.98,170.5333,24.93333,1013.187,69.91334,1.98,2.086667,56.06667,25.3,1013.127,61.74666
3.506667,5.186667,106.2,25.16,1015.58,67.54667,2.346667,3.86,54,25.1,1012.493,64.46,1.586667,2.62,76.33334,24.4,1013.1,68.4,0.7928572,1.521429,130.9286,25,1013.186,69.52857,2.513333,3.013333,41.53333,25.24667,1013.1,61.99333
3.864286,5.242857,51.07143,25.1,1015.557,67.82858,2.85,4.171429,62.71429,25.12143,1012.422,64.62858,1.721429,2.471428,73.78571,24.31428,1013.1,68.81429,1.442857,2.228572,158.6429,24.98571,1013.143,69.91429,2.526666,3.04,41.2,25.2,1013.087,62.17334
3.564286,4.928571,46.85714,25.13572,1015.479,68.01429,2.892857,4.921429,43.28571,25.1,1012.393,64.77142,1.357143,2.457143,88.35714,24.3,1013.071,68.93571,2.042857,3.235714,202.5,24.89285,1013.086,70.82143,2.593333,3.2,38.8,25.2,1013,62.38
3.828571,5.764285,119.4286,25.1,1015.436,68.34286,0.8857144,2,188.5,25.05714,1012.4,65.07143,1.171429,1.592857,70.57143,24.27143,1013,69.07856,1.733333,2.366666,207.2,24.83333,1013.1,71.22667,1.246667,1.713333,35.46667,25.16667,1013.013,62.56666
3.52,4.679999,96.13333,25.04667,1015.547,68.8,1.553334,2.593333,133.2667,24.98,1012.467,65.53999,1.846667,2.926666,79.86667,24.21333,1012.947,69.51333,1.185714,1.728572,252.0714,24.8,1013.121,71.32858,1.04,1.62,55.93333,25.1,1013.1,62.82668
3.521429,5.342857,117.0714,25.23571,1015.486,67.84286,0.9642856,1.485714,133.2857,24.97143,1012.4,65.62144,2.314286,3.628571,99.78571,24.3,1012.793,69.43571,1.164286,1.614286,294.0714,24.8,1013.1,71.41428,1.806667,2.12,22.06667,25.1,1013.047,63.05999
4.542857,5.728572,47.21429,25.4,1015.464,67.08572,1.535714,2.457143,68.78571,24.9,1012.393,65.80714,1.9,2.942857,148.2143,24.34285,1012.679,69.42143,0.8266666,1.573334,281.4667,24.74,1013.087,71.80001,0.5600001,0.8666667,62.46667,25.02667,1013,63.23333
4.913333,6.426667,26.86667,25.69333,1015.48,65.93333,2.34,3.093333,84.13333,24.9,1012.373,65.85334,2.766667,3.773333,106,24.3,1012.587,69.38667,1.421429,2.364286,195.8571,24.61429,1013.057,72.41428,0.7600001,1.053333,187.4,24.96667,1013,63.20667
3.278572,5.550001,69.85714,25.47857,1015.443,66.46429,2.871429,3.778571,74.85714,24.84285,1012.264,66.15,4.45,5.985714,84.42857,24.3,1012.436,69.65,1.885714,2.678571,124.7857,24.6,1012.993,72.46429,0.78,0.8200001,188.5333,24.82666,1012.967,63.46667
3.771429,5.964286,70.78571,25.03572,1015.271,68.23571,1.592857,2.75,121.1429,24.75,1012.136,66.49999,4.214285,5.671428,77.92857,24.21429,1012.25,69.79285,1.9,3.05,72.78571,24.67143,1012.829,71.87143,1.446667,1.993333,97.4,24.8,1012.793,64.08
4.7,6.328571,26.92857,25.12857,1015.05,67.79285,3.05,4.142857,35.35714,24.75714,1011.9,66.42857,4.885715,6.021429,83.85714,24.2,1012.093,69.75715,1.793333,3.206666,92.53333,24.7,1012.58,72.02666,2.633333,3.2,30.2,24.8,1012.54,64.46667
5.593333,8.099999,67.66666,25.23334,1014.773,67.28667,3.706666,4.633333,32.2,24.89333,1011.633,66.04,4.153334,5.1,83.8,24.2,1012.013,69.70667,4.135714,5.385714,36.78571,24.72857,1012.307,71.85713,3.893333,4.24,31.06667,24.72667,1012.293,64.68001
5.071429,7.507142,94.57143,25.08571,1014.586,68.15715,3.964285,5.864287,63.07143,24.9,1011.45,65.97857,2.535714,3.507143,78.28571,24.3,1012,69.47858,3.585714,5.035714,84.42857,24.84285,1012.136,71.62143,4.346667,4.833334,35.66667,24.7,1012.127,64.85334
7.4,9.021429,31.28572,25.26428,1014.45,67.25,4.171428,5.992857,55.5,24.87857,1011.407,66.04285,2.914286,3.335714,83.85714,24.23571,1011.922,69.60714,3.12,4.493334,60.66667,24.81333,1012.08,71.62,3.753333,4.313333,35.66667,24.7,1012.047,64.88
8.66,10.56,31.86667,25.77333,1014.273,65.24,4.993333,7.100001,38.2,24.8,1011.313,66.07333,2.646667,3.78,83.4,24.33333,1011.887,69.3,2.885714,4.185714,112.3571,24.8,1012.007,71.58572,4.053333,4.58,38,24.73333,1011.947,64.70667
8.921428,10.42143,37.64286,26.01429,1014.207,64.07143,3.85,5.850001,45,24.72143,1011.307,66.01429,2.8,4.007143,85.28571,24.42143,1011.793,68.95715,2.842857,3.692857,18.35714,24.8,1011.972,71.55715,3.993333,4.466667,29.06667,24.85333,1011.9,63.98
