#1.WindSpeed,#1.WindSpeedMax,#1.WindDirection,#1.AirTemperature,#1.AirPressure,#1.AirHumidity,#5.WindSpeed,#5.WindSpeedMax,#5.WindDirection,#5.AirTemperature,#5.AirPressure,#5.AirHumidity,#10.WindSpeed,#10.WindSpeedMax,#10.WindDirection,#10.AirTemperature,#10.AirPressure,#10.AirHumidity,#14.WindSpeed,#14.WindSpeedMax,#14.WindDirection,#14.AirTemperature,#14.AirPressure,#14.AirHumidity,#18.WindSpeed,#18.WindSpeedMax,#18.WindDirection,#18.AirTemperature,#18.AirPressure,#18.AirHumidity
4,4.7,286,1.3,1028.4,76.8,1.9,2.5,288,0.2,1026.9,76.1,0.8,0.8,228,-0.2,1027.7,74.4,3.3,3.4,247,0.2,1027.7,78.7,3,3,289,0.7,1027.6,68.8
4.2,4.5,288,1.3,1028.45,76.75,1.65,2.5,301.5,0.2,1026.9,76.1,0.65,0.8,221,-0.1,1027.7,74.4,2.8,3.35,245,0.2,1027.7,78.64999,3.1,3.1,288,0.7,1027.6,68.8
3.166667,4.3,290.6667,1.3,1028.5,76.83334,1.333333,2.4,304.6667,0.2,1026.9,76.16666,0.6,0.8,221.5,-0.1,1027.7,74.4,3.2,3.3,242.6667,0.2,1027.7,78.73333,3.2,3.2,289,0.7,1027.6,68.9
3.8,4.1,294.3333,1.4,1028.5,76.66666,1.7,2.6,293,0.2,1026.9,76.1,0.8,0.8,216.3333,-0.1,1027.7,74.33334,2.566667,3.3,241.6667,0.2,1027.7,78.8,2.75,3.2,290.5,0.7,1027.6,69.05
2.766667,4.066667,291.3333,1.4,1028.467,76.36667,0.9666667,2.4,289.3333,0.1666667,1026.9,76.03333,0.9333333,0.9333333,216.3333,-0.1,1027.7,74.23333,2.533333,2.833333,243,0.2,1027.7,78.73333,2.933333,3.133333,291,0.7,1027.6,69.13333
3.433333,3.933333,293.3333,1.4,1028.5,76.46667,1.8,1.966667,294.6667,0.1,1026.967,76,0.8999999,1,212.3333,-0.1,1027.7,74.2,3.166667,3.366667,246.3333,0.1333333,1027.7,78.76666,2.533334,3,294,0.7,1027.6,69.2
2.266667,4.4,296.6667,1.4,1028.5,76.5,1.9,3.1,310.6667,0.1,1026.967,75.8,0.7666667,0.9333333,208,-0.1,1027.7,74.16666,3.3,3.6,246.5,0.1,1027.7,79,2.833333,2.9,293.3333,0.6666667,1027.6,69.2
4.133333,4.266667,286.3333,1.4,1028.5,76.46667,1.633333,3.033334,301.3333,0.1,1026.933,75.56667,0.5666667,0.8333333,211.6667,-0.1,1027.7,74.23333,3.1,3.533334,244.3333,0.1,1027.7,78.83334,3.2,3.4,293,0.6,1027.6,69.23333
2.6,4.2,291,1.4,1028.5,76.3,0.5666667,2.5,299,0.1,1027,75.5,0.5666667,0.6333333,213.3333,-0.1,1027.7,74.3,2.7,3.366667,243.6667,0.1,1027.7,78.66666,3.033334,3.333333,293.3333,0.6,1027.6,69.3
1.666667,4.033333,301,1.4,1028.5,76.33334,1.65,1.65,288.5,0.1,1026.95,75.45,0.5,0.6,210.5,-0.1,1027.7,74.2,3.2,3.4,245,0.1,1027.7,78.73333,2.966666,3.1,292,0.6,1027.6,69.33334
2.6,3.2,292,1.4,1028.5,76.46667,1.4,2.6,291.6667,0.1,1027,75.53333,0.3666667,0.5666667,232,-0.1,1027.7,74.2,2.5,3.3,238.6667,0.1,1027.7,78.8,2.766667,3.1,290.3333,0.6,1027.6,69.4
3.066667,3.8,291,1.466667,1028.5,76.43334,1.7,2.6,310,0.06666667,1026.933,75.53333,0.2666667,0.4333333,270.3333,-0.1,1027.7,74.23333,3.133333,3.3,244.6667,0.1,1027.7,78.8,2.7,2.8,289,0.6,1027.6,69.4
3.966666,4.8,283.6667,1.433333,1028.5,76.33334,0.7666667,2.2,267,0,1026.967,75.5,0.4333333,0.4333333,291.3333,-0.1666667,1027.7,74.43333,3.1,3.4,246,0.1,1027.7,79.03333,2.7,2.8,290,0.6,1027.6,69.4
3.466666,4.666667,296.3333,1.4,1028.567,76.23333,1.366667,2,321.6667,0,1027,75.4,0.5666667,0.6,307.3333,-0.2,1027.7,74.56667,2.95,3.4,239,0.05,1027.7,79,2.233333,2.766667,297,0.5333334,1027.6,69.43333
2.9,4.166667,290,1.4,1028.5,76.46667,1.633333,2.266667,318.3333,0,1027,75.23333,0.6333334,0.6666667,302.6667,-0.2,1027.7,74.46667,2.733333,3.333333,235,0,1027.7,79.06667,1.766667,2.466667,305.3333,0.5,1027.633,69.5
3.8,4.35,290.5,1.3,1028.5,76.55,2.066667,2.8,313.6667,0,1027,75.3,0.6333333,0.7,296.6667,-0.2,1027.7,74.2,2.966666,3.3,248.6667,0,1027.7,79.23333,1.433333,1.866667,312,0.4666667,1027.7,69.53333
4.266667,4.9,286,1.3,1028.5,76.23333,1.6,2.75,307.5,0,1027,75.4,0.45,0.7,307.5,-0.2,1027.7,74.05,2.133333,3.3,252,0,1027.7,79.4,1.366667,1.533333,313.3333,0.4,1027.7,69.63333
4.6,5,290.3333,1.3,1028.5,76.36667,2.1,2.666667,304.6667,0,1027,75.56667,0.1666667,0.6,291,-0.2333333,1027.7,73.93333,2.166667,2.9,248.6667,0,1027.7,79.4,1.3,1.4,311,0.4,1027.7,69.7
3.866667,5.2,288,1.4,1028.5,76.8,1.9,2.433333,306,0,1027,75.66666,0.1666667,0.3,300.3333,-0.3,1027.7,73.83334,2.333333,2.766667,250.6667,0,1027.7,79.23333,1.466667,1.466667,314.6667,0.4,1027.7,69.76666
4.233333,4.8,290.3333,1.4,1028.5,77.2,2.666667,2.666667,298.6667,0,1027,75.83334,0.4,0.4666667,288.6667,-0.3333333,1027.7,73.83334,3.166667,3.166667,253.3333,0,1027.733,79.16666,1.733333,1.733333,326,0.4,1027.7,69.93333
2.966666,4.6,293.3333,1.433333,1028.5,77.73333,2.5,3.1,297,0,1027,75.9,0.2666667,0.5,240,-0.4333333,1027.7,73.8,3.45,3.55,254,0.1,1027.7,79.3,2.3,2.333333,302.3333,0.3666667,1027.7,70.03333
1.9,3.9,298,1.5,1028.5,77.93334,2.366667,2.833333,300.3333,0.03333334,1027,75.8,0.3333333,0.3333333,206.3333,-0.5,1027.7,73.83334,3.033334,3.6,251.3333,0.1,1027.7,79.33334,2.3,2.4,297.3333,0.3,1027.7,70.13333
3.7,4.3,291,1.5,1028.5,78.3,1.4,2.6,302.6667,0.1,1027,75.63333,0.4333333,0.4333333,209,-0.6,1027.7,73.86667,2.933333,3.4,252.6667,0.1,1027.7,79.23333,2.166667,2.366667,297.6667,0.3,1027.667,70.2
4.2,4.4,290,1.5,1028.467,78.2,1.35,2.1,321,0.1,1027,75.6,0.55,0.6,197,-0.6,1027.7,73.85001,2.733333,3.2,253.3333,0.1,1027.7,79.23333,2.466667,2.466667,292.6667,0.3,1027.6,70.2
4.1,4.633333,289.6667,1.433333,1028.4,78.33334,2,2.8,285.6667,0.1,1026.933,75.7,0.6333334,0.6666667,208,-0.6333334,1027.7,73.63333,3.166667,3.233333,247.3333,0.1,1027.7,79.3,2.233333,2.5,288.6667,0.3,1027.6,70.2
3.3,4.8,292.3333,1.4,1028.4,78.7,1.333333,2.633333,298.6667,0.1,1026.9,75.7,0.7333333,0.8,196,-0.7333333,1027.7,73.86667,3.066667,3.3,243.3333,0.1,1027.667,79.53333,2.666667,2.666667,287.3333,0.3,1027.6,70.23333
2.633333,4.366667,292,1.3,1028.4,79.03333,1.466667,3,194.3333,0.03333334,1026.9,75.83334,0.6666667,0.8,185,-0.8,1027.7,74.2,2.966666,3.3,242,0.1666667,1027.633,79.3,2.666667,2.7,284.3333,0.3,1027.6,70.3
2.866667,3.4,291.6667,1.3,1028.4,79.3,1.3,2.766667,297.3333,0,1026.9,75.9,0.7666667,0.8,218,-0.8999999,1027.7,74.6,2.6,3.2,227,0.2,1027.6,79.14999,2.766667,2.8,282,0.3,1027.6,70.3
3.366667,3.5,292.6667,1.3,1028.433,79.33334,1.733333,2.566667,254.6667,0.03333334,1026.9,75.76667,0.8333333,0.8999999,209,-0.8999999,1027.7,74.76667,2.6,2.933333,228,0.2,1027.6,79.1,2.833333,2.833333,283.6667,0.3,1027.6,70.33334
3.75,3.75,287,1.3,1028.5,79.55,1.766667,2.7,293.6667,0.06666667,1026.9,75.53333,1.033333,1.2,209,-0.9666667,1027.7,74.46667,2.833333,3,239,0.1333333,1027.6,79.23333,2.9,2.933333,284.3333,0.3333333,1027.6,70.36667
3.266667,3.9,291.6667,1.3,1028.5,79.53333,0.95,2.4,127.5,0,1026.9,75.45,1,1.2,194.5,-1,1027.7,74.3,2.5,3.2,233.3333,0.1,1027.6,79.46667,3.233333,3.266667,285,0.4,1027.6,70.3
3.566667,4.2,289,1.3,1028.5,79.46667,0.3666667,1.8,110,0,1026.9,75.5,0.9666667,1.033333,199.3333,-1.1,1027.7,74.5,2.133333,3,244.6667,0.1,1027.6,79.66666,3.3,3.333333,285,0.4,1027.6,70.3
2.733333,4,285.3333,1.3,1028.5,79.6,0.9,1.1,159,0,1026.9,75.56667,1.5,1.5,222.3333,-1.233333,1027.7,74.76666,2.733334,2.9,239.3333,0.03333334,1027.6,79.9,3.433333,3.6,284,0.3666667,1027.6,70.3
2.633333,3.6,292.3333,1.2,1028.467,79.86667,1.233333,1.5,273.3333,0,1026.9,75.6,1.433333,1.6,232.3333,-1.366667,1027.7,75.2,2.866667,3.2,239.3333,0,1027.6,80.2,3.1,3.533334,280.6667,0.3,1027.6,70.33334
3.133333,3.7,290.3333,1.2,1028.433,80.13333,1.3,1.933333,308,-0.03333334,1026.9,75.7,1.4,1.533333,239.3333,-1.4,1027.7,75.9,3.3,3.3,244.5,0,1027.6,80.35001,3.133333,3.233333,284.6667,0.3,1027.6,70.36667
2.5,4.1,293,1.266667,1028.467,80.2,0.7666667,2.8,290.3333,-0.1,1026.9,75.8,1.333333,1.433333,244,-1.4,1027.7,76.3,3.166667,3.4,249,0,1027.6,80.56667,2.9,3.166667,285,0.3,1027.6,70.3
1.55,3.1,279.5,1.3,1028.45,80.55,1,1.933333,198.3333,0,1026.9,75.6,1.133333,1.366667,237.3333,-1.4,1027.7,76.5,3.033334,3.333333,251,0,1027.633,80.6,3,3.1,284,0.3,1027.6,70.3
2.633333,2.833333,284.6667,1.3,1028.5,80.7,1.65,1.8,299.5,0,1026.9,75.5,0.95,1.25,244,-1.4,1027.7,76.55,2.033334,3.233333,258,0.06666667,1027.633,80.56667,3,3,283,0.3,1027.6,70.3
2.666667,3.033334,292,1.4,1028.5,80.83334,1.3,2.166667,262,-0.1,1026.9,75.56667,0.8,1.066667,250.3333,-1.366667,1027.6,76.6,2.466667,2.766666,252,0.1,1027.7,80.46667,2.733333,3,287,0.2666667,1027.6,70.33334
2.133333,3.3,305.6667,1.4,1028.5,80.93333,0.8,2.3,303,-0.1,1026.9,75.73333,0.4666667,0.8666666,257.3333,-1.3,1027.6,76.8,2.766667,3,251.6667,0.1,1027.7,80.5,2.766667,2.866667,291,0.2,1027.6,70.4
1.466667,3.4,303,1.333333,1028.5,81.03333,1.366667,2.633333,305.6667,-0.1,1026.9,76,0.2333333,0.6,266,-1.366667,1027.6,77.03333,2.633333,2.933333,252.3333,0,1027.7,80.66666,2.5,2.8,295,0.2,1027.6,70.4
1.433333,2.533334,249.3333,1.3,1028.5,81.06667,0.9666667,2.8,315.6667,-0.1,1026.9,76.16666,0.1,0.2666667,282.3333,-1.333333,1027.6,77.16666,2.9,3.2,251.5,0,1027.7,80.8,2.6,2.8,296,0.2,1027.6,70.4
2.266667,2.666667,278.6667,1.3,1028.5,80.73334,1.1,1.766667,311,-0.1,1026.933,76.23333,0.2666667,0.2666667,280.3333,-1.3,1027.6,77.2,2.833333,3.2,251.3333,0,1027.7,80.86667,2.7,2.7,295,0.2,1027.6,70.4
1.7,3.6,281.5,1.2,1028.5,80.64999,1.866667,2.066667,296.6667,-0.03333334,1026.9,76.33334,0.3,0.3,277.6667,-1.3,1027.6,77.16666,2.933333,3.133333,251.3333,0,1027.667,80.93333,2.666667,2.7,293.3333,0.2,1027.6,70.6
3.2,3.6,288.6667,1.166667,1028.5,80.7,2.05,2.4,307,0,1026.9,76.4,0.25,0.3,243,-1.3,1027.6,77.1,2.8,3.2,249,0,1027.633,81.03333,2.5,2.7,295,0.2,1027.6,70.73333
3.333333,3.9,290.3333,1.1,1028.433,80.9,1.2,2.4,298,0,1026.9,76.46667,0.3,0.4,259.6667,-1.266667,1027.7,77.1,2.9,3.4,244.3333,0,1027.633,81.03333,2.433333,2.633333,295.3333,0.2,1027.6,70.8
