#1.WindSpeed,#1.WindSpeedMax,#1.WindDirection,#1.AirTemperature,#1.AirPressure,#1.AirHumidity,#5.WindSpeed,#5.WindSpeedMax,#5.WindDirection,#5.AirTemperature,#5.AirPressure,#5.AirHumidity,#10.WindSpeed,#10.WindSpeedMax,#10.WindDirection,#10.AirTemperature,#10.AirPressure,#10.AirHumidity,#14.WindSpeed,#14.WindSpeedMax,#14.WindDirection,#14.AirTemperature,#14.AirPressure,#14.AirHumidity,#18.WindSpeed,#18.WindSpeedMax,#18.WindDirection,#18.AirTemperature,#18.AirPressure,#18.AirHumidity
4,4.7,286,1.3,1028.4,76.8,1.9,2.5,288,0.2,1026.9,76.1,0.8,0.8,228,-0.2,1027.7,74.4,3.3,3.4,247,0.2,1027.7,78.7,3,3,289,0.7,1027.6,68.8
3.421429,4.157143,291.7857,1.364286,1028.486,76.60714,1.461538,2.346154,296.5385,0.1692308,1026.916,76.07692,0.8,0.8769231,216.9231,-0.1,1027.7,74.3,2.857143,3.221428,243.6429,0.1857143,1027.7,78.74285,2.82,3.11,291.3,0.6999999,1027.6,69.08
2.657143,4.007143,293.5714,1.4,1028.5,76.42143,1.414286,2.642857,298.9286,0.1,1026.971,75.57857,0.5571429,0.7214286,215.4286,-0.1,1027.7,74.22143,2.935714,3.428571,243.4286,0.1,1027.7,78.79285,2.96,3.166666,292.4,0.6133333,1027.6,69.29333
3.414286,4.357143,290.2857,1.407143,1028.514,76.39286,1.506667,2.373333,306.1333,0.01333333,1026.98,75.39333,0.5066666,0.5666666,293.6667,-0.1733334,1027.7,74.38,2.978571,3.342857,242.9286,0.05,1027.7,79.02857,1.972727,2.445455,302,0.5181819,1027.636,69.47272
3.986667,4.9,289.6,1.366667,1028.5,76.86667,2.192857,2.721428,302.4286,0,1027,75.69286,0.2785714,0.5,283.9286,-0.3071429,1027.7,73.87858,2.592857,3.107143,251.5714,0.01428571,1027.707,79.3,1.633333,1.693333,313.4667,0.3933334,1027.7,69.81334
3.421429,4.414285,292.2857,1.464286,1028.45,78.29285,1.714286,2.628571,300.2857,0.0857143,1026.964,75.69286,0.5357143,0.5642858,203.7143,-0.6142856,1027.7,73.80714,2.986667,3.346667,249.6,0.1,1027.693,79.32667,2.366667,2.48,292.7333,0.3,1027.633,70.19334
3.135714,3.785715,291.2857,1.3,1028.443,79.3357,1.478572,2.707143,241.0714,0.02857143,1026.9,75.71429,0.85,0.9642857,203.7143,-0.9071429,1027.7,74.47858,2.707143,3.121429,234.3571,0.1571429,1027.607,79.25715,2.88,2.906666,283.8667,0.3266667,1027.6,70.32
2.913333,3.92,290,1.253333,1028.473,79.85332,0.9133333,1.826666,228.1333,-0.02666667,1026.9,75.63333,1.326666,1.42,227.4667,-1.3,1027.7,75.33334,2.807143,3.15,243.2857,0.02857143,1027.6,80.12142,3.173333,3.373333,283.8667,0.3333334,1027.6,70.32
2.128572,3.135715,293.9286,1.35,1028.493,80.82858,1.192857,2.192857,271.8571,-0.06428572,1026.9,75.69286,0.7,1.014286,251.5,-1.364286,1027.635,76.70715,2.586667,3.053333,253,0.05333334,1027.673,80.55999,2.727273,2.918182,289.6364,0.2363637,1027.6,70.36364
2.435714,3.235714,277.4286,1.214286,1028.486,80.82143,1.392857,2.278571,305.5714,-0.05,1026.907,76.31429,0.2428571,0.3071428,270.4286,-1.3,1027.621,77.14999,2.871429,3.228572,249.3571,0,1027.664,80.94286,2.554545,2.690909,294.7273,0.2,1027.6,70.65454
